id,username,password,email,,mobileno,createdAt,updatedAt,user.firstName,user.LastName,user.walletAddress
4,string,$2b$10$AITggYIUehg8S9GFJxj8guWa0q0UCe0XMZLSvGeY2caP3VKjL6IA6,string@12gmail.com,,9009696441,Thu Feb 02 2023 14:05:22 GMT+0530 (India Standard Time),Thu Feb 02 2023 14:05:22 GMT+0530 (India Standard Time),Manish,string,string
5,Manish,$2b$10$E2yD7yRgPtHoaWVNOyjA2.n8LjLPmjdgvFyzdt7AFPLHEe8Yj5BTC,MAnish@123gmail.com,,9009696441,Thu Feb 02 2023 15:14:07 GMT+0530 (India Standard Time),Thu Feb 02 2023 15:14:07 GMT+0530 (India Standard Time),Manish,string,string
6,string,$2b$10$E2yD7yRgPtHoaWVNOyjA2.n8LjLPmjdgvFyzdt7AFPLHEe8Yj5BTC,MAnish@123gmail.com,,9009694441,Thu Feb 02 2023 15:14:07 GMT+0530 (India Standard Time),Thu Feb 02 2023 15:14:07 GMT+0530 (India Standard Time),Manish,string,string
7,string,$2b$10$E2yD7yRgPtHoaWVNOyjA2.n8LjLPmjdgvFyzdt7AFPLHEe8Yj5BTC,MAnish@123gmail.com,,9009694442,Thu Feb 02 2023 15:14:07 GMT+0530 (India Standard Time),Thu Feb 02 2023 15:14:07 GMT+0530 (India Standard Time),Manish,string,string
8,string,$2b$10$E2yD7yRgPtHoaWVNOyjA2.n8LjLPmjdgvFyzdt7AFPLHEe8Yj5BTC,MAnish@123gmail.com,,9009694443,Thu Feb 02 2023 15:14:07 GMT+0530 (India Standard Time),Thu Feb 02 2023 15:14:07 GMT+0530 (India Standard Time),Manish,string,string
9,string,$2b$10$E2yD7yRgPtHoaWVNOyjA2.n8LjLPmjdgvFyzdt7AFPLHEe8Yj5BTC,MAnish@123gmail.com,,9009694444,Thu Feb 02 2023 15:14:07 GMT+0530 (India Standard Time),Thu Feb 02 2023 15:14:07 GMT+0530 (India Standard Time),Manish,string,string
10,string,$2b$10$E2yD7yRgPtHoaWVNOyjA2.n8LjLPmjdgvFyzdt7AFPLHEe8Yj5BTC,MAnish@123gmail.com,,9009694445,Thu Feb 02 2023 15:14:07 GMT+0530 (India Standard Time),Thu Feb 02 2023 15:14:07 GMT+0530 (India Standard Time),Manish,string,string
11,string,$2b$10$E2yD7yRgPtHoaWVNOyjA2.n8LjLPmjdgvFyzdt7AFPLHEe8Yj5BTC,MAnish@123gmail.com,,9009694446,Thu Feb 02 2023 15:14:07 GMT+0530 (India Standard Time),Thu Feb 02 2023 15:14:07 GMT+0530 (India Standard Time),Manish,string,string
12,string,$2b$10$E2yD7yRgPtHoaWVNOyjA2.n8LjLPmjdgvFyzdt7AFPLHEe8Yj5BTC,MAnish@123gmail.com,,9009694447,Thu Feb 02 2023 15:14:07 GMT+0530 (India Standard Time),Thu Feb 02 2023 15:14:07 GMT+0530 (India Standard Time),Manish,string,string
13,string,$2b$10$E2yD7yRgPtHoaWVNOyjA2.n8LjLPmjdgvFyzdt7AFPLHEe8Yj5BTC,MAnish@123gmail.com,,9009694448,Thu Feb 02 2023 15:14:07 GMT+0530 (India Standard Time),Thu Feb 02 2023 15:14:07 GMT+0530 (India Standard Time),Manish,string,string
